きー,ひさかたのー,ひかりのどけきはるのひに,しずこころなく　はなのちるらんー,しづごころなくはなのちるらむ,ひさー
きー,しらつゆにー,かぜのふきしくあきののわ,つらぬきとめぬ　たまぞちりけるー,つらぬきとめぬたまぞちりける,しらー
きー,あさじうのー,おののしのはらしのぶれど,あまりてなどか　ひとのこいしきー,あまりてなどかひとのこひしき,あさー
きー,ゆらのとをー,わたるふなびとかじをたえ,ゆくえもしらぬ　こいのみちかなー,ゆくへもしらぬこひのみちかな,ゆらー
きー,やえむぐらー,しげれるやどのさびしさに,ひとこそみえね　あきわきにけりー,ひとこそみえねあきはきにけり,やえー
きー,たきのおとわー,たえてひさしくなりぬれど,なこそながれて　なおきこえけれー,なこそながれてなほきこえけれ,たきー
きー,おおえやまー,いくののみちのとおければ,まだふみもみず　あまのはしだてー,まだふみもみずあまのはしだて,おおー
きー,あわじしまー,かようちどりのなくこえに,いくよねざめぬ　すまのせきもりー,いくよねざめぬすまのせきもり,あわー
きー,あきかぜにー,たなびくくものたえまより,もれいずるつきの　かげのさやけさー,もれいづるつきのかげのさやけさ,あきー
きー,ほととぎすー,なきつるかたをながむれば,ただあありあけの　つきぞのこれるー,ただありあけのつきぞのこれる,ほとー
きー,むらさめのー,つゆもまだいぬまきのはに,きりたちのぼる　あきのゆうぐれー,きりたちのぼるあきのゆふぐれ,むらー
きー,みよしののー,やまのあきかぜさよふけて,ふるさとさむく　ころもうつなりー,ふるさとさむくころもうつなり,みよー
きー,はなさそうー,あらしのにわのゆきならで,ふりゆくものわ　わがみなりけりー,ふりゆくものはわがみなりけり,はなー
きー,よもすがらー,ものおもうころわあけやらで,ねやのひまさえ　つれなかりけりー,ねやのひまさへつれなかりけり,よもー
きー,たまのおよー,たえなばたえねながらえば,しのぶることの　よわりもぞするー,しのぶることのよわりもぞする,たまー
みどり,わがいおわー,みやこのたつみしかぞすむ,よをうじやまと　ひとわいうなりー,よをうぢやまとひとはいふなり,わがいー
みどり,はなのいろわー,うつりにけりないたずらに,わがみよにふる　ながめせしまにー,わがみよにふるながめせしまに,はなー
みどり,わたのはらー,やそじまかけてこぎいでぬと,ひとにわつげよ　あまのつりぶねー,ひとにはつげよあまのつりぶね,わたー
みどり,きみがためー,はるののにいでてわかなつむ,わがころもでに　ゆきわふりつつー,わがころもでにゆきはふりつつ,きみー
みどり,ちはやぶるー,かみよもきかずたつたがわ,からくれないに　みずくくるとわー,からくれなゐにみづくくるとは,ちはー
みどり,わびぬればー,いまはたおなじなにわなる,みをつくしても　あわんとぞおもうー,みをつくしてもあはむとぞおもふ,わびー
みどり,つきみればー,ちぢにものこそかなしけれ,わがみひとつの　あきにわあらねどー,わがみひとつのあきにはあらねど,つきー
みどり,おぐらやまー,みなのもみじばこころあらば,いまひとたびの　みゆきまたなんー,いまひとたびのみゆきまたなむ,おぐー
みどり,こころあてにー,おらばやおらんはつしもの,おきまどわせる　しらぎくのはなー,おきまどはせるしらぎくのはな,こころあー
みどり,ひとわいさー,こころもしらずふるさとわ,花ぞむかしの　かににおいけるー,はなぞむかしのかににほひける,ひとー
みどり,なつのよわー,まだよいながらあけぬるを,くものいずこに　つきやどるらんー,くものいづこにつきやどるらむ,なつー
みどり,わすらるるー,みをばおもわずちかいてし,ひとのいのちの　おしくもあるかなー,ひとのいのちのをしくもあるかな,わすらー
みどり,こいすちょうー,わがなわまだきたちにけり,ひとしれずこそ　おもいそめしかー,ひとしれずこそおもひそめしか,こいー
みどり,ちぎりきなー,かたみにそでをしぼりつつ,すえのまつやま　なみこさじとわー,すゑのまつやまなみこさじとは,ちぎー
みどり,わすれじのー,ゆくすえまでわかたければ,きょうをかぎりの　いのちともがなー,けふをかぎりのいのちともがな,わすれー
みどり,やすらわでー,ねなましものをさよふけて,かたぶくまでの　つきをみしかなー,かたぶくまでのつきをみしかな,やすー
みどり,こころにもー,あらでうきよにながらえば,こいしかるべき　よわのつきかなー,こひしかるべきよはのつきかな,こころにー
みどり,ゆうさればー,かどたのいなばおとずれて,あしのまろやに　あきかぜぞふくー,あしのまろやにあきかぜぞふく,ゆうー
みどり,わがそでわー,しおいにみえぬおきのいしの,ひとこそしらね　かわくまもなしー,ひとこそしらねかわくまもなし,わがそー
みどり,よのなかわー,つねにもがもななぎさこぐ,あまのおぶねの　つなでかなしもー,あまのをぶねのつなでかなしも,よのー
おれんじ,あけぬればー,くるるものとわしりながら,なおうらめしき　あさぼらけかなー,なほうらめしきあさぼらけかな,あけー
おれんじ,あさぼらけー,うじのかわぎりだえだえに,あらわれわたる　せぜのあじろぎー,あらはれわたるせぜのあじろぎ,あさー
おれんじ,あわれともー,いうべきひとはおもおえで,みのいたずらに　なりぬべきかなー,みのいたづらになりぬべきかな,あわー
おれんじ,あいみてのー,のちのこころにくらぶれば,むかしわものを　おもわざりけりー,むかしはものをおもはざりけり,あいー
おれんじ,おうことのー,たえてしなくばなかなかに,ひとをもみをも　うらみざらましー,ひとをもみをもうらみざらまし,おうー
おれんじ,あらざらんー,このよのほかのおもいでに,いまひとたびの　おうこともがなー,いまひとたびのあふこともがな,あらー
おれんじ,いまこんとー,いいしばかりにながつきの,ありあけのつきを　まちいでつるかなー,ありあけのつきをまちいでつるかな,いまこー
おれんじ,いまわただー,おもいたえなんとばかりを,ひとずてならで　いうよしもがなー,ひとづてならでいふよしもがな,いまわー
